# rowsym.csv for mcp/scripts/graph-eval.mjs's row-to-symbol linking metric
# (plans/03-drawing-tag-recognition-audit.md WP7 follow-up, 2026-09-18).
#
# MECHANICALLY DERIVED from this set's own bldg5406-hvac-demo.takeoff.csv, itself an
# independently-authored ground-truth key (never sweep_schedule_row's own
# output) that already lists every real schedule-row tag with its expected
# installed quantity and, where applicable, an explicit expected_status.
# A row with a real expected_quantity > 0 and no explicit refused status is
# expected to have its own drawn symbol found (resolved); a row explicitly
# marked expected_status=refused there is independently established as
# schedule-only / never drawn on any plan sheet, and is expected to correctly
# refuse here too. This expands what was previously a small (15-40 row) hand
# sample per set to full coverage of every real schedule row this corpus has
# already ground-truthed for takeoff-eval.
tag,expect_status,note
EF-5,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Fan (exhaust / supply / return / general)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: FAN SCHEDULE row, SERVICE=SPECTROMETRIC OIL ANALYSIS, SUNCOURT/DB204P (a small in-line duct booster fan, distinct model family from EF-1..4), QTY=1. Visually confirmed sheet #2: real small in-line fan glyph near AC-1/ACCU-1/EF-2, tag directly beside it. sweepScheduleRow('EF-5') returns found=1 today — a real positive."
L-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Louver (unclassified — no dedicated hvacTaxonomy louver category today)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: LOUVER SCHEDULE (sheet #7), real single unit, LOCATION=MECH ROOM 113A, TYPE=INTAKE, GREENHECK/ESD-635, AIRFLOW 200 CFM, SIZE 12X22 — all values matched exactly against the real plan callout on sheet #2 ('200 CFM / 12X22 LOUVER / 0.67 FT² F.A.', directly beside tag 'L-1'). sweepScheduleRow('L-1') returns found=1 today — a real positive."
L-2,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Louver (unclassified — no dedicated hvacTaxonomy louver category today)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: LOUVER SCHEDULE, second real unit, LOCATION=MECH ROOM 113A, TYPE=INTAKE, GREENHECK/ESD-635. NOTE: the schedule row's own MATERIAL/SIZE/AIRFLOW cells are real but garbled by the pipeline's own extraction ('WALLALUM.1,29040' / 'X22' — see this set's own reference.csv for the cell-level finding); the REAL plan callout on sheet #2 reads clean: '1290 CFM / 40X22 LOUVER / 2.69 FT² F.A.', directly beside tag 'L-2'. sweepScheduleRow('L-2') returns found=1 today — a real positive despite the cell-extraction garbling (geometric anchoring only needs the tag text, not the cell values)."
VAV-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE (sheet #6, real title confirmed by find_text; whole table undiscovered by the pipeline — Finding #1), MARK VAV-1, TRANE/VCEF, INLET DIA 14in, REGULATOR SET CFM 2170 (the largest box on this schedule). Visually confirmed sheet #2: real standalone rectangle-glyph box symbol, HALLWAY near BENCH STOCK 109, tag directly beside it (no leader line, same convention as federal-mech's own VAV boxes). sweepScheduleRow('VAV-1') throws 'No schedule row ... in the set' — a real, disclosed total table-discovery miss (Finding #1), not an absent symbol."
VAV-2,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-2, TRANE/VCEF, INLET DIA 9in, REGULATOR SET CFM 360. Visually confirmed sheet #2: real box symbol, RADIATION CONTROL 103 / LIGHT TRAP 104 area, tag directly beside it. sweepScheduleRow('VAV-2') throws the same real Finding #1 miss as VAV-1."
VAV-3,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-3, TRANE/VCEF, INLET DIA 9in, REGULATOR SET CFM 320. Visually confirmed sheet #2: real box symbol, FILM PROCCESING 102, directly beside VAV-2 in the same render crop. sweepScheduleRow('VAV-3') throws the same real Finding #1 miss."
VAV-4,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-4, TRANE/VCEF, INLET DIA 8in, REGULATOR SET CFM 320. Visually confirmed sheet #2: real box symbol, OFFICE 107, directly beside VAV-5/VAV-6 in the same render crop. sweepScheduleRow('VAV-4') throws the same real Finding #1 miss."
VAV-5,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-5, TRANE/VCEF, INLET DIA 8in, REGULATOR SET CFM 460. Visually confirmed sheet #2: real box symbol directly beside VAV-4/VAV-6 in the same render crop. sweepScheduleRow('VAV-5') throws the same real Finding #1 miss."
VAV-6,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: REAL PIPELINE MISS, DOUBLE GAP (Finding #1 AND Finding #2, NEW this session): AIR TERMINAL BOX SCHEDULE, MARK VAV-6, TRANE/VCEF, INLET DIA 9in, REGULATOR SET CFM 430. Visually confirmed sheet #2: real box symbol directly beside VAV-4/VAV-5, tag 'VAV-6' clearly printed on the drawing in the identical convention as every sibling VAV — but find_text returns ZERO hits for 'VAV-6' anywhere on sheet #2 (Finding #2's text-layer gap), IN ADDITION to the whole-table-undiscovered gap every other VAV-N tag already has (Finding #1). expected_quantity=1 (the real, literal drawn count)."
VAV-7,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-7, TRANE/VCEF, INLET DIA 4in, REGULATOR SET CFM 130. Visually confirmed sheet #2: real box symbol, near BENCH STOCK 109 / CDA 80, directly beside VAV-8 in the same render crop. sweepScheduleRow('VAV-7') throws the same real Finding #1 miss."
VAV-8,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-8, TRANE/VCEF, INLET DIA 8in, REGULATOR SET CFM 400. Visually confirmed sheet #2: real box symbol, near SPECTROMETRIC OIL ANALYSIS 110, directly beside VAV-7 in the same render crop. sweepScheduleRow('VAV-8') throws the same real Finding #1 miss."
VAV-9,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, VAV box (variable air volume terminal)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR TERMINAL BOX SCHEDULE, MARK VAV-9, TRANE/VCEF, INLET DIA 4in, REGULATOR SET CFM 85 (tied with VAV-7 for smallest box on this schedule). Visually confirmed sheet #2: real box symbol in the mechanical room directly beside AS-1/ET-1. sweepScheduleRow('VAV-9') throws the same real Finding #1 miss."
CP-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Pump) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Pump schedule row (#18) plus one exact plan-tagged placement at [748.5,836.5] on #14."
CDA,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=2, Supply diffuser) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: GRILLE REGISTER AND DIFFUSER SCHEDULE (#7) row plus two distinct exact plan-tagged placements on #2."
CDB,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=9, Supply diffuser) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Same schedule; nine distinct exact plan-tagged placements on #2, geometrically corroborated."
RRA,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=5, Return register) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Same schedule; five distinct exact plan-tagged placements on #2, geometrically corroborated."
ERA,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=3, Exhaust register) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Same schedule; three distinct exact plan-tagged placements on #2, geometrically corroborated."
